2.458839713020000141e+06 1.432980000000000054e+01 3.069999999999999951e-01
2.458866790109999944e+06 6.677139999999999986e+01 1.098000000000000087e+00
2.458867831960000098e+06 -3.346569999999999823e+01 7.870000000000000329e-01
2.459202574930000119e+06 -7.418499999999999872e+00 7.289999999999999813e-01
2.459202827269999776e+06 -4.489970000000000283e+01 5.839999999999999636e-01
2.459203647590000182e+06 1.971880000000000166e+01 4.869999999999999885e-01
2.459203795359999873e+06 4.838969999999999771e+01 1.145999999999999908e+00
2.459204661859999876e+06 2.767409999999999926e+01 4.779999999999999805e-01
2.459204771490000188e+06 1.029470000000000063e+01 6.879999999999999449e-01
2.459248690630000085e+06 5.751339999999999719e+01 1.459000000000000075e+00
2.459576845290000085e+06 7.815199999999999925e+00 9.439999999999999503e-01
